EmpID,Name,Department,Experience,Salary,Age,City
1001,Emp_1,HR,10,37334,47,Mumbai
1002,Emp_2,Support,1,55624,40,Mumbai
1003,Emp_3,IT,10,59295,49,Hyderabad
1004,Emp_4,HR,11,94982,24,Chennai
1005,Emp_5,Finance,13,83554,39,Mumbai
1006,Emp_6,Support,3,36640,49,Bangalore
1007,Emp_7,HR,2,72122,28,Bangalore
1008,Emp_8,IT,2,26458,44,Chennai
1009,Emp_9,HR,13,63444,32,Chennai
1010,Emp_10,Sales,1,102185,29,Chennai
1011,Emp_11,IT,1,39655,41,Bangalore
1012,Emp_12,HR,6,58643,47,Bangalore
1013,Emp_13,IT,10,93301,22,Hyderabad
1014,Emp_14,Sales,1,57274,29,Bangalore
1015,Emp_15,IT,5,102477,49,Hyderabad
1016,Emp_16,Support,13,111471,32,Mumbai
1017,Emp_17,Finance,7,43904,45,Bangalore
1018,Emp_18,IT,7,91663,47,Mumbai
1019,Emp_19,Support,1,87095,48,Chennai
1020,Emp_20,Finance,3,115167,38,Mumbai
1021,Emp_21,IT,4,76078,24,Hyderabad
1022,Emp_22,Finance,4,48561,24,Chennai
1023,Emp_23,Sales,12,67802,48,Hyderabad
1024,Emp_24,HR,3,101332,34,Bangalore
1025,Emp_25,IT,7,39660,32,Chennai
1026,Emp_26,Support,14,113557,37,Chennai
1027,Emp_27,HR,11,29213,22,Chennai
1028,Emp_28,Finance,12,46892,27,Hyderabad
1029,Emp_29,Finance,1,66862,46,Hyderabad
1030,Emp_30,HR,6,105938,49,Hyderabad
1031,Emp_31,Support,14,110548,38,Mumbai
1032,Emp_32,HR,14,119576,27,Mumbai
1033,Emp_33,Support,12,32931,47,Hyderabad
1034,Emp_34,HR,2,31116,41,Chennai
1035,Emp_35,HR,4,27854,33,Chennai
1036,Emp_36,Support,7,72508,32,Mumbai
1037,Emp_37,Finance,6,80177,47,Hyderabad
1038,Emp_38,Sales,12,119760,28,Mumbai
1039,Emp_39,IT,6,119864,47,Bangalore
1040,Emp_40,Finance,2,47859,29,Mumbai
1041,Emp_41,Support,12,115426,46,Chennai
1042,Emp_42,Sales,9,86649,22,Mumbai
1043,Emp_43,IT,1,88015,31,Chennai
1044,Emp_44,HR,6,27609,28,Bangalore
1045,Emp_45,Sales,10,70183,36,Bangalore
1046,Emp_46,IT,9,117555,38,Chennai
1047,Emp_47,IT,6,84754,39,Hyderabad
1048,Emp_48,Finance,12,60663,49,Chennai
1049,Emp_49,HR,12,77757,35,Mumbai
1050,Emp_50,Finance,11,115565,22,Chennai
1051,Emp_51,Support,8,78680,39,Chennai
1052,Emp_52,HR,9,44258,48,Bangalore
1053,Emp_53,Support,6,65333,31,Chennai
1054,Emp_54,Sales,9,37803,49,Hyderabad
1055,Emp_55,IT,13,116340,42,Hyderabad
1056,Emp_56,IT,14,83269,48,Chennai
1057,Emp_57,Support,12,41837,47,Bangalore
1058,Emp_58,Support,10,59355,38,Chennai
1059,Emp_59,IT,10,86076,39,Chennai
1060,Emp_60,IT,2,92589,32,Bangalore
1061,Emp_61,Sales,6,95903,45,Mumbai
1062,Emp_62,Support,14,96532,47,Bangalore
1063,Emp_63,Sales,10,54382,41,Hyderabad
1064,Emp_64,IT,2,94821,38,Chennai
1065,Emp_65,IT,5,96912,30,Chennai
1066,Emp_66,Sales,8,110904,23,Mumbai
1067,Emp_67,Finance,13,102822,34,Mumbai
1068,Emp_68,IT,8,85106,33,Bangalore
1069,Emp_69,Support,12,25644,27,Bangalore
1070,Emp_70,Support,8,30014,37,Chennai
1071,Emp_71,IT,10,76987,42,Bangalore
1072,Emp_72,HR,8,80893,43,Chennai
1073,Emp_73,HR,7,97995,42,Mumbai
1074,Emp_74,Support,1,64544,25,Mumbai
1075,Emp_75,IT,4,97816,36,Chennai
1076,Emp_76,Sales,10,63155,36,Chennai
1077,Emp_77,HR,5,64465,35,Hyderabad
1078,Emp_78,Finance,13,79291,42,Chennai
1079,Emp_79,HR,5,33489,42,Mumbai
1080,Emp_80,Sales,7,114041,39,Mumbai
1081,Emp_81,IT,9,68402,23,Hyderabad
1082,Emp_82,HR,5,47016,24,Mumbai
1083,Emp_83,HR,11,89670,23,Chennai
1084,Emp_84,IT,10,34813,23,Mumbai
1085,Emp_85,Sales,3,70344,24,Mumbai
1086,Emp_86,Finance,2,83858,34,Bangalore
1087,Emp_87,IT,11,100772,34,Chennai
1088,Emp_88,Support,2,107189,40,Bangalore
1089,Emp_89,Sales,7,90475,36,Hyderabad
1090,Emp_90,IT,4,72350,35,Mumbai
1091,Emp_91,Finance,11,60708,24,Chennai
1092,Emp_92,Finance,14,50503,27,Bangalore
1093,Emp_93,HR,12,94344,46,Chennai
1094,Emp_94,Sales,5,67918,39,Chennai
1095,Emp_95,HR,6,113229,45,Hyderabad
1096,Emp_96,IT,14,98935,39,Bangalore
1097,Emp_97,Sales,5,44545,45,Chennai
1098,Emp_98,HR,1,92196,23,Mumbai
1099,Emp_99,IT,11,100008,32,Mumbai
1100,Emp_100,HR,3,98056,46,Mumbai
